name,price,location,posted_date,image_name,img_link,description,price_type
مكتبة كتب + مكتبة تلفزيون,"EGP 12,000","Nasr City, Cairo",1 day ago,مكتبة كتب + مكتبة تلفزيون.jpg,https://images.dubizzle.com.eg/thumbnails/137237291-400x300.jpeg,"مكتبة كتب + مكتبة تلفزيون. السعر: جنيه مصري 12000. الموقع: Nasr City, Cairo.  تم النشر منذ 1 يوم مضت.",Fixed
تربيزة من ايكيا,"EGP 3,000","New Maadi, Maadi",5 days ago,تربيزة من ايكيا.jpg,https://images.dubizzle.com.eg/thumbnails/136972060-400x300.jpeg,"تربيزة من ايكيا. السعر: جنيه مصري 3000. الموقع: New Maadi, Maadi.  تم النشر منذ 5 يومs مضت.",Negotiable
ترابيزة اجتماعات,"EGP 18,000","Grand Gate, Zahraa Al Maadi",1 day ago,ترابيزة اجتماعات.jpg,https://images.dubizzle.com.eg/thumbnails/137235777-400x300.jpeg,"ترابيزة اجتماعات. السعر: جنيه مصري 18000. الموقع: Grand Gate, Zahraa Al Maadi.  تم النشر منذ 1 يوم مضت.",Negotiable
سرير دورين,"EGP 15,000","Shebin al-Koum, Monufia",1 week ago,سرير دورين.jpg,https://images.dubizzle.com.eg/thumbnails/136623918-400x300.jpeg,"سرير دورين. السعر: جنيه مصري 15000. الموقع: Shebin al-Koum, Monufia.  تم النشر منذ 1 أسبوع مضت.",Negotiable
سفره بالكراسي,"EGP 4,000","Zagazig, Sharqia",6 days ago,سفره بالكراسي.jpg,https://images.dubizzle.com.eg/thumbnails/136899380-400x300.jpeg,"سفره بالكراسي. السعر: جنيه مصري 4000. الموقع: Zagazig, Sharqia.  تم النشر منذ 6 يومs مضت.",Fixed
in & out L-SHAPE,"EGP 20,000","Sheikh Zayed, Giza",6 days ago,in & out L-SHAPE.jpg,https://images.dubizzle.com.eg/thumbnails/136895800-400x300.jpeg,"in & out L-SHAPE. السعر: جنيه مصري 20000. الموقع: Sheikh Zayed, Giza.  تم النشر منذ 6 يومs مضت.",Fixed
CiLEK Girl Bedroom,"EGP 15,000","1st Settlement, New Cairo",1 day ago,CiLEK Girl Bedroom.jpg,https://images.dubizzle.com.eg/thumbnails/112568162-400x300.jpeg,"CiLEK Girl Bedroom. السعر: جنيه مصري 15000. الموقع: 1st Settlement, New Cairo.  تم النشر منذ 1 يوم مضت.",Fixed
تصفية كافية ويوجد كنب منجد وفتيهات,"EGP 1,100","Asafra, Alexandria",6 days ago,تصفية كافية ويوجد كنب منجد وفتيهات.jpg,https://images.dubizzle.com.eg/thumbnails/136897722-400x300.jpeg,"تصفية كافية ويوجد كنب منجد وفتيهات. السعر: جنيه مصري 1100. الموقع: Asafra, Alexandria.  تم النشر منذ 6 يومs مضت.",Negotiable
كونسول   \ بايو,"EGP 14,000","Golden Square, New Cairo",2 days ago,كونسول    بايو.jpg,https://images.dubizzle.com.eg/thumbnails/137148667-400x300.jpeg,"كونسول   \ بايو. السعر: جنيه مصري 14000. الموقع: Golden Square, New Cairo.  تم النشر منذ 2 يومs مضت.",Negotiable
ترابيزه سفره,"EGP 50,000","5th Settlement, New Cairo",6 days ago,ترابيزه سفره.jpg,https://images.dubizzle.com.eg/thumbnails/136898951-400x300.jpeg,"ترابيزه سفره. السعر: جنيه مصري 50000. الموقع: 5th Settlement, New Cairo.  تم النشر منذ 6 يومs مضت.",Negotiable
بيع سفره,"EGP 30,000","Hadayek al-Ahram, Giza",2 days ago,بيع سفره.jpg,https://images.dubizzle.com.eg/thumbnails/137125721-400x300.jpeg,"بيع سفره. السعر: جنيه مصري 30000. الموقع: Hadayek al-Ahram, Giza.  تم النشر منذ 2 يومs مضت.",Negotiable
صالون كالجديد و معه ترابيزه رخام اسبانى,"EGP 10,000","Basateen, Cairo",1 day ago,صالون كالجديد و معه ترابيزه رخام اسبانى.jpg,https://images.dubizzle.com.eg/thumbnails/136963970-400x300.jpeg,"صالون كالجديد و معه ترابيزه رخام اسبانى. السعر: جنيه مصري 10000. الموقع: Basateen, Cairo. جديد تم النشر منذ 1 يوم مضت.",Fixed
دولاب بلاكار جرار خشب زان,"EGP 10,000","El Shorouk 2000, Shorouk City",2 days ago,دولاب بلاكار جرار خشب زان.jpg,https://images.dubizzle.com.eg/thumbnails/135424787-400x300.jpeg,"دولاب بلاكار جرار خشب زان. السعر: جنيه مصري 10000. الموقع: El Shorouk 2000, Shorouk City. مصنوع من الخشب تم النشر منذ 2 يومs مضت.",Negotiable
مكتبة تليفزيون مودرن,"EGP 9,999","Banafsag Omarat, New Cairo",20 hours ago,مكتبة تليفزيون مودرن.jpg,https://images.dubizzle.com.eg/thumbnails/137246500-400x300.jpeg,"مكتبة تليفزيون مودرن. السعر: جنيه مصري 9999. الموقع: Banafsag Omarat, New Cairo.  تم النشر منذ 20 ساعةs مضت.",Negotiable
dinning,"EGP 6,000","Obour City, Cairo",1 hour ago,dinning.jpg,https://images.dubizzle.com.eg/thumbnails/137304340-400x300.jpeg,"dinning. السعر: جنيه مصري 6000. الموقع: Obour City, Cairo.  تم النشر منذ 1 ساعة مضت.",Fixed
سجاده شنواه اصلى صوف على حرير ورد بارز ٢. ٥× ١. ٨٥وارد السعوديه,"EGP 20,000","New Cairo, Cairo",4 days ago,سجاده شنواه اصلى صوف على حرير ورد بارز ٢. ٥× ١. ٨٥وارد السعوديه.jpg,https://images.dubizzle.com.eg/thumbnails/137029708-400x300.jpeg,"سجاده شنواه اصلى صوف على حرير ورد بارز ٢. ٥× ١. ٨٥وارد السعوديه. السعر: جنيه مصري 20000. الموقع: New Cairo, Cairo.  تم النشر منذ 4 يومs مضت.",Fixed
نشترى كل انواع الاثاث المستعمل - شراء اثاث مستعمل بسعر مناسب ليك,"EGP 10,000","Haram, Giza",3 days ago,نشترى كل انواع الاثاث المستعمل - شراء اثاث مستعمل بسعر مناسب ليك.jpg,https://images.dubizzle.com.eg/thumbnails/132051495-400x300.jpeg,"نشترى كل انواع الاثاث المستعمل - شراء اثاث مستعمل بسعر مناسب ليك. السعر: جنيه مصري 10000. الموقع: Haram, Giza. مستعمل تم النشر منذ 3 يومs مضت.",Negotiable
كنبة  من معرض هب كايرو فيستيفال,"EGP 38,000","Nasr City, Cairo",1 day ago,كنبة  من معرض هب كايرو فيستيفال.jpg,https://images.dubizzle.com.eg/thumbnails/137201035-400x300.jpeg,"كنبة  من معرض هب كايرو فيستيفال. السعر: جنيه مصري 38000. الموقع: Nasr City, Cairo.  تم النشر منذ 1 يوم مضت.",Fixed
مكتبة قيمة جدا خشب بالرخام  تقسيم ارفف وأدراج وتليفزيون  سعر لقطة,"EGP 10,000","Nasr City, Cairo",5 days ago,مكتبة قيمة جدا خشب بالرخام  تقسيم ارفف وأدراج وتليفزيون  سعر لقطة.jpg,https://images.dubizzle.com.eg/thumbnails/136935146-400x300.jpeg,"مكتبة قيمة جدا خشب بالرخام  تقسيم ارفف وأدراج وتليفزيون  سعر لقطة. السعر: جنيه مصري 10000. الموقع: Nasr City, Cairo. مصنوع من الخشب تم النشر منذ 5 يومs مضت.",Fixed
2 كرسي للبيع,"EGP 8,000","1st Settlement, New Cairo",3 days ago,2 كرسي للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/137071209-400x300.jpeg,"2 كرسي للبيع. السعر: جنيه مصري 8000. الموقع: 1st Settlement, New Cairo.  تم النشر منذ 3 يومs مضت.",Negotiable
غرفة نوم ماستر صغيرة للبيع ( full bedroom ),"EGP 25,000","1st Settlement, New Cairo",5 days ago,غرفة نوم ماستر صغيرة للبيع ( full bedroom ).jpg,https://images.dubizzle.com.eg/thumbnails/136358103-400x300.jpeg,"غرفة نوم ماستر صغيرة للبيع ( full bedroom ). السعر: جنيه مصري 25000. الموقع: 1st Settlement, New Cairo.  تم النشر منذ 5 يومs مضت.",Fixed
هنشترى عفش بيتك باعلى سعر نشترى كل اثاث مستعمل كلمنا نصلك نفس اليوم,"EGP 7,000","New Cairo, Cairo",4 days ago,هنشترى عفش بيتك باعلى سعر نشترى كل اثاث مستعمل كلمنا نصلك نفس اليوم.jpg,https://images.dubizzle.com.eg/thumbnails/107337181-400x300.jpeg,"هنشترى عفش بيتك باعلى سعر نشترى كل اثاث مستعمل كلمنا نصلك نفس اليوم. السعر: جنيه مصري 7000. الموقع: New Cairo, Cairo. مستعمل تم النشر منذ 4 يومs مضت.",Fixed
دولاب ملابس / تخزين اطفال,"EGP 7,000","Mohandessin, Giza",5 days ago,دولاب ملابس  تخزين اطفال.jpg,https://images.dubizzle.com.eg/thumbnails/136956583-400x300.jpeg,"دولاب ملابس / تخزين اطفال. السعر: جنيه مصري 7000. الموقع: Mohandessin, Giza.  تم النشر منذ 5 يومs مضت.",Negotiable
طقم ليزي بوي للبيع,"EGP 30,000","Ismailia City, Ismailia",3 days ago,طقم ليزي بوي للبيع.jpg,https://images.dubizzle.com.eg/thumbnails/137075149-400x300.jpeg,"طقم ليزي بوي للبيع. السعر: جنيه مصري 30000. الموقع: Ismailia City, Ismailia.  تم النشر منذ 3 يومs مضت.",Negotiable
كنبه كهربائيه بالإضاءة متحركه بالكامل,"EGP 24,000","5th District, New Cairo",1 day ago,كنبه كهربائيه بالإضاءة متحركه بالكامل.jpg,https://images.dubizzle.com.eg/thumbnails/136973765-400x300.jpeg,"كنبه كهربائيه بالإضاءة متحركه بالكامل. السعر: جنيه مصري 24000. الموقع: 5th District, New Cairo.  تم النشر منذ 1 يوم مضت.",Fixed
صالون أنيق يضيف لمسة من الفخامة والرقي إلى منزلك,"EGP 20,000","Suez District, Suez",1 week ago,صالون أنيق يضيف لمسة من الفخامة والرقي إلى منزلك.jpg,https://images.dubizzle.com.eg/thumbnails/97087628-400x300.jpeg,"صالون أنيق يضيف لمسة من الفخامة والرقي إلى منزلك. السعر: جنيه مصري 20000. الموقع: Suez District, Suez.  تم النشر منذ 1 أسبوع مضت.",Negotiable
غرفة سفره خشب زان احمر,"EGP 15,000","5th Settlement, New Cairo",12 hours ago,غرفة سفره خشب زان احمر.jpg,https://images.dubizzle.com.eg/thumbnails/136321044-400x300.jpeg,"غرفة سفره خشب زان احمر. السعر: جنيه مصري 15000. الموقع: 5th Settlement, New Cairo. مصنوع من الخشب تم النشر منذ 12 ساعةs مضت.",Negotiable
طقم صيني فتحي محمود بخصم اكتر50%معاكِ  3هدايا قيّمة كمان!,"EGP 3,900","Suez District, Suez",2 days ago,طقم صيني فتحي محمود بخصم اكتر50%معاكِ  3هدايا قيّمة كمان!.jpg,https://images.dubizzle.com.eg/thumbnails/136931328-400x300.jpeg,"طقم صيني فتحي محمود بخصم اكتر50%معاكِ  3هدايا قيّمة كمان!. السعر: جنيه مصري 3900. الموقع: Suez District, Suez.  تم النشر منذ 2 يومs مضت.",Negotiable
